"";"dm";"data_2019";"valor_2019";"acumulado_2019";"data_2020";"valor_2020";"acumulado_2020";"data_2021";"valor_2021";"acumulado_2021";"data_2022";"valor_2022";"acumulado_2022";"variacao22_21"
"145";"25/5";2019-05-25;0;407211203,18;2020-05-25;4461154,07;407508967,05;2021-05-25;4480268,04;458518399,33;2022-05-25;4442840,91;613290007,62;33,754721406198
"146";"26/5";2019-05-26;0;407211203,18;2020-05-26;44104,36;407553071,41;2021-05-26;12566,57;458530965,9;2022-05-26;37663,03;613327670,65;33,759269550349
"147";"27/5";2019-05-27;48222,93;407259426,11;2020-05-27;13392798,26;420945869,67;2021-05-27;24590142,75;483121108,65;2022-05-27;49787256,06;663114926,71;37,256459061158
"148";"28/5";2019-05-28;137229,13;407396655,24;2020-05-28;30059,37;420975929,04;2021-05-28;279379,38;483400488,03;2022-05-28;0;663114926,71;37,1771322392308
"149";"29/5";2019-05-29;27045729,21;434442384,45;2020-05-29;5359091,1;426335020,14;2021-05-29;0;483400488,03;2022-05-29;0;663114926,71;37,1771322392308
"150";"30/5";2019-05-30;177774,15;434620158,6;2020-05-30;0;426335020,14;2021-05-30;0;483400488,03;2022-05-30;262452,43;663377379,14;37,2314251984848
"151";"31/5";2019-05-31;954812,07;435574970,67;2020-05-31;0;426335020,14;2021-05-31;292605,84;483693093,87;2022-05-31;276015,38;663653394,52;37,2054724226365
"152";"1/6";2019-06-01;0;435574970,67;2020-06-01;39076,77;426374096,91;2021-06-01;6404,21;483699498,08;2022-06-01;15191,01;663668585,53;37,2067964023884
"153";"2/6";2019-06-02;0;435574970,67;2020-06-02;39080,63;426413177,54;2021-06-02;882441,58;484581939,66;2022-06-02;170114,89;663838700,42;36,992043262234
"154";"3/6";2019-06-03;31736,37;435606707,04;2020-06-03;477843,91;426891021,45;2021-06-03;0;484581939,66;2022-06-03;4487745,13;668326445,55;37,9181498218695
"155";"4/6";2019-06-04;135636,5;435742343,54;2020-06-04;772834,47;427663855,92;2021-06-04;6845286,72;491427226,38;2022-06-04;0;668326445,55;35,9970326579365
"156";"5/6";2019-06-05;24373050,48;460115394,02;2020-06-05;24144284,43;451808140,35;2021-06-05;0;491427226,38;2022-06-05;0;668326445,55;35,9970326579365
"157";"6/6";2019-06-06;10743021,8;470858415,82;2020-06-06;0;451808140,35;2021-06-06;0;491427226,38;2022-06-06;16126739,64;684453185,19;39,2786456362801
"158";"7/6";2019-06-07;2812691,31;473671107,13;2020-06-07;0;451808140,35;2021-06-07;30079572,55;521506798,93;2022-06-07;8216535,57;692669720,76;32,8208418722791
"159";"8/6";2019-06-08;0;473671107,13;2020-06-08;3184497,32;454992637,67;2021-06-08;6192410,24;527699209,17;2022-06-08;10488221,38;703157942,14;33,2497623496486
